ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X,Other
11594,70,190,11,11,442,2,456,7,5,36,65,123,12,0,225,0,0
101,13880,167,35,33,70,7,233,12,103,82,14,266,193,1,388,0,0
181,118,8493,119,78,107,28,173,5,23,134,18,361,80,1,147,0,0
23,8,59,10907,9,16,1,111,1,39,324,14,75,8,1,513,0,0
13,17,9,4,5843,9,0,45,3,2,8,0,365,6,0,11,0,0
82,522,105,115,66,12806,5,147,22,22,186,9,341,112,0,410,0,0
4,0,4,2,0,3,312,8,0,1,1,5,9,1,0,5,0,0
372,71,170,71,25,156,12,31992,28,10,133,235,300,32,1,658,4,0
8,17,8,7,1,32,0,48,1405,1,10,1,14,1,2,11,0,0
14,79,51,81,11,11,1,63,1,4845,38,7,32,104,0,125,0,0
24,94,68,81,48,78,1,165,6,23,19290,15,1110,100,0,137,1,0
32,14,8,2,4,45,6,156,1,1,7,3297,62,3,0,16,0,0
21,22,26,9,24,8,5,140,3,11,44,11,17928,26,1,58,1,0
16,113,70,7,20,15,1,46,1,61,107,9,254,3270,0,76,0,0
0,2,0,0,1,3,0,0,0,0,0,0,1,0,77,1,1,0
169,59,65,251,9,40,4,393,1,21,43,28,103,21,3,21005,1,0
1,0,3,1,1,2,0,5,0,1,0,4,2,1,2,1,111,0
