acl,acl:relcl,advcl,advmod,amod,appos,aux,aux:pass,case,cc,cc:preconj,ccomp,compound,compound:prt,conj,cop,csubj,det,det:predet,discourse,expl,fixed,flat,flat:foreign,goeswith,iobj,list,mark,nmod,nmod:npmod,nmod:poss,nmod:tmod,nsubj,nsubj:pass,nummod,obj,obl,obl:npmod,obl:tmod,parataxis,punct,vocative,xcomp,Other
1536,20,23,8,11,2,1,1,0,0,0,5,7,0,9,2,2,1,1,0,0,0,0,0,0,0,0,5,17,0,1,0,40,6,1,5,9,1,5,2,8,0,10,299
17,1991,21,13,3,1,0,0,0,1,0,15,2,0,12,1,1,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,32,6,0,13,40,0,9,20,5,1,2,469
21,12,4060,23,4,1,5,0,0,1,0,40,0,0,52,1,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,2,0,9,28,1,3,45,19,0,95,858
5,18,15,11506,41,2,71,13,38,30,5,4,8,12,21,51,1,27,1,19,5,4,0,0,0,0,0,74,6,0,1,0,72,2,0,55,71,10,8,2,100,0,28,1419
5,2,5,27,11225,2,3,0,61,4,0,0,90,0,20,6,2,363,9,0,0,1,1,0,1,1,0,4,46,0,24,0,25,1,5,78,19,4,2,4,15,0,13,578
1,1,0,2,2,328,0,0,2,0,0,0,5,0,22,0,0,1,0,1,0,0,1,0,0,0,0,0,5,0,0,0,8,0,0,11,5,0,1,1,6,1,1,152
1,4,3,37,0,0,7136,36,1,2,0,11,2,0,0,44,0,1,0,1,2,0,0,0,0,0,0,10,0,0,0,0,133,5,1,15,5,0,0,1,21,0,42,299
0,1,0,3,0,0,40,1222,0,0,0,1,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,9,0,2,1,0,0,0,3,0,4,47
0,0,2,32,56,2,2,0,19021,18,1,0,16,0,2,27,0,41,0,0,0,11,0,0,0,3,0,86,48,2,8,0,6,0,15,168,55,2,3,0,19,0,5,1329
1,0,0,3,4,0,0,0,8,6992,2,1,1,0,15,0,0,2,0,1,0,0,0,0,0,0,0,8,2,0,1,0,5,0,0,1,4,0,0,0,265,0,0,641
0,0,0,3,0,0,0,0,0,0,58,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11
4,17,69,9,0,0,3,0,0,0,0,2189,0,0,26,3,14,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,6,1,0,13,7,0,0,40,4,0,30,300
4,3,0,5,129,10,0,0,21,5,0,0,3693,1,40,3,0,158,1,0,0,0,17,0,1,0,0,0,34,0,61,1,37,0,8,47,5,2,0,1,19,0,0,429
0,0,0,7,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,2,0,1,56
4,8,44,12,26,16,1,1,0,1,0,20,20,0,6842,0,4,5,2,0,0,0,1,0,0,0,1,1,16,0,2,0,17,1,1,14,18,0,2,81,10,0,10,1687
0,5,2,28,2,1,57,31,3,0,0,5,4,0,1,5889,0,3,0,0,10,0,1,0,0,0,0,14,3,0,9,0,90,0,2,15,14,0,0,1,37,0,5,295
3,0,13,2,1,0,0,0,0,0,0,8,0,0,2,0,374,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,2,0,0,3,3,0,4,37
