ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X,Other
16232,66,155,14,9,385,2,319,10,2,37,64,121,17,0,158,1,0
80,19910,132,37,31,57,4,166,15,61,58,11,263,165,1,307,1,0
142,96,11753,126,40,67,27,158,1,31,119,8,365,89,0,134,1,0
13,6,61,14903,4,15,1,92,2,33,213,8,92,14,0,340,0,0
13,13,11,1,7499,5,1,30,0,2,11,3,336,8,0,9,1,0
70,536,99,88,63,17932,6,109,20,14,131,6,281,96,0,316,0,0
3,0,6,0,0,0,269,6,0,0,3,3,8,1,0,2,0,0
288,53,124,36,21,151,8,42212,31,6,71,181,196,32,2,437,2,0
8,9,3,2,0,31,0,44,1756,0,6,6,17,1,0,8,0,0
16,60,49,43,4,12,0,55,0,6880,42,8,35,114,0,130,0,0
14,65,44,58,45,74,1,139,13,15,23771,9,1101,100,0,109,0,0
20,8,15,4,2,58,1,169,0,1,9,4854,59,5,0,11,1,0
48,20,30,18,35,21,2,172,0,8,34,14,23620,26,1,64,0,0
10,115,76,10,17,14,0,46,1,70,63,7,277,4720,0,34,0,0
1,0,0,0,0,0,0,3,0,0,0,0,0,0,79,1,0,0
165,44,65,182,7,37,2,329,2,19,32,25,96,22,1,27432,0,0
0,0,3,0,0,2,0,8,0,1,2,4,5,0,2,4,143,0
