ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X,Other
14938,27,81,8,3,174,0,139,2,3,13,23,53,1,0,67,0,0
35,18358,60,13,13,14,2,58,3,19,24,1,161,48,1,133,1,0
64,50,11003,34,26,41,7,74,2,8,45,2,217,28,0,47,0,0
8,8,22,12706,6,4,0,38,0,13,81,5,49,5,0,109,0,0
1,12,4,6,6767,9,0,15,0,2,6,0,167,0,0,3,0,0
22,226,26,24,18,16736,0,32,2,4,49,5,142,19,0,125,1,0
1,1,4,0,0,0,216,2,0,0,0,1,2,0,0,0,0,0
116,32,29,14,5,63,2,37581,8,2,38,52,91,4,1,172,2,0
10,1,3,1,0,9,0,18,1501,0,7,0,6,0,1,5,1,0
3,18,26,19,4,2,0,31,2,6167,21,5,18,57,0,29,0,0
8,30,18,31,4,20,0,32,2,0,20363,3,574,32,0,37,0,0
14,2,7,1,1,25,0,50,0,1,1,4511,52,0,0,5,0,0
25,9,15,5,11,6,2,88,1,5,20,3,21344,7,0,14,0,0
8,59,34,1,5,10,1,19,0,20,32,5,144,4239,0,16,0,0
1,1,1,0,1,1,1,4,0,0,0,0,9,0,84,0,0,0
58,12,18,66,2,13,1,148,2,3,11,4,75,3,0,24299,2,0
0,0,1,0,0,2,0,1,0,0,0,2,1,0,0,0,120,0
