ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X,Other
8295,19,33,0,2,10,0,69,5,4,11,7,9,1,1,42,0,0
14,7278,25,0,4,10,0,48,2,9,22,3,15,5,0,27,0,0
39,6,3834,4,2,5,0,18,5,3,14,3,11,16,0,17,0,0
4,0,2,645,1,0,0,1,0,3,5,0,0,0,0,15,0,0
4,3,6,2,3596,0,0,9,0,8,2,2,11,3,0,1,1,0
7,16,5,0,0,1974,0,14,0,2,10,0,4,1,0,3,0,0
0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
52,14,34,3,2,6,0,20045,2,2,13,22,9,6,0,45,0,0
7,5,1,0,0,1,0,4,1000,0,2,0,1,0,0,3,0,0
11,6,46,3,8,4,0,16,0,1868,19,1,2,2,0,11,0,0
9,4,5,0,2,29,0,18,0,12,4798,1,19,9,0,12,0,0
4,0,2,0,1,0,0,23,0,0,1,2280,2,1,0,3,0,0
25,7,24,3,23,3,0,98,0,3,12,16,14513,4,0,35,0,0
6,8,16,0,0,0,0,8,0,0,8,0,34,2283,0,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
25,4,15,14,2,2,0,64,0,12,14,3,20,7,0,9198,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,43,0
